FECHA,ID_EMPRESA,EMPRESA,ID_TIPOLOGIA,TIPOLOGIA,ID_MEDIO_ATENCION,MEDIO DE ATENCION,NUMERO_QUEJAS
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E1,Error factura/ Cobro o descuento injustificado,3,Página Web,70
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E1,Error factura/ Cobro o descuento injustificado,4,Red social,6
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E1,Error factura/ Cobro o descuento injustificado,5,Otros,2
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E2,Incremento tarifario,1,Oficina,148
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E2,Incremento tarifario,2,Línea Telefónica,27
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E2,Incremento tarifario,3,Página Web,121
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E2,Incremento tarifario,4,Red social,2
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E2,Incremento tarifario,5,Otros,1
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E3,Reporte a centrales de riesgo,1,Oficina,242
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E3,Reporte a centrales de riesgo,2,Línea Telefónica,7
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E3,Reporte a centrales de riesgo,3,Página Web,36
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E4,Cobro en proceso de reclamación,1,Oficina,138
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E4,Cobro en proceso de reclamación,2,Línea Telefónica,51
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E4,Cobro en proceso de reclamación,3,Página Web,5
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E8,Cobro por reconexión,1,Oficina,17803
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E8,Cobro por reconexión,2,Línea Telefónica,172
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E8,Cobro por reconexión,3,Página Web,121
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,E8,Cobro por reconexión,5,Otros,3
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,1,Oficina,70
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,2,Línea Telefónica,301
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,3,Página Web,7
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,4,Red social,1
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,G1,Medios de atención al usuario,5,Otros,2
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,H3,Garantía,2,Línea Telefónica,2
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,1,Oficina,2044
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,2,Línea Telefónica,1066
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,3,Página Web,407
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,4,Red social,11
2018-1,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,I1,Otros,5,Otros,8
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A1,Modificación condiciones acordadas,1,Oficina,53
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A1,Modificación condiciones acordadas,2,Línea Telefónica,38
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A1,Modificación condiciones acordadas,3,Página Web,113
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A1,Modificación condiciones acordadas,5,Otros,1
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A2,Publicidad engañosa,1,Oficina,3730
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A2,Publicidad engañosa,2,Línea Telefónica,1791
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A2,Publicidad engañosa,3,Página Web,67
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A2,Publicidad engañosa,4,Red social,16
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A2,Publicidad engañosa,5,Otros,2
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A3,Servicios no solicitados,1,Oficina,2700
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A3,Servicios no solicitados,2,Línea Telefónica,1280
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A3,Servicios no solicitados,3,Página Web,26
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A3,Servicios no solicitados,4,Red social,13
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A4,Fraudes en contratación,1,Oficina,1210
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A4,Fraudes en contratación,2,Línea Telefónica,15
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A4,Fraudes en contratación,3,Página Web,22
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A4,Fraudes en contratación,5,Otros,1
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,A5,Datos personales,1,Oficina,2
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B1,Imposibilidad terminación contrato,1,Oficina,379
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B1,Imposibilidad terminación contrato,2,Línea Telefónica,1299
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B1,Imposibilidad terminación contrato,3,Página Web,53
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B1,Imposibilidad terminación contrato,4,Red social,6
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B1,Imposibilidad terminación contrato,5,Otros,1
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B3,Cláusula de permanencia superior a 1 año,1,Oficina,319
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B3,Cláusula de permanencia superior a 1 año,2,Línea Telefónica,126
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B3,Cláusula de permanencia superior a 1 año,3,Página Web,80
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B3,Cláusula de permanencia superior a 1 año,4,Red social,3
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,B3,Cláusula de permanencia superior a 1 año,5,Otros,1
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,D1,No disponibilidad del servicio,1,Oficina,39524
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,D1,No disponibilidad del servicio,2,Línea Telefónica,102018
2018-2,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,D1,No disponibilidad del servicio,3,Página Web,412
